"Date Purchased","Promise Date","Shipped Date","Delivery Date","Order ID","Order Item ID",Barcode,Qty,Category,Country,Channel,Supplier,Total,"Total USD","Priced At supplier","Order Status","Item Status","Handover to Carrier"
"31/07/2022 02:16:25",31/08/2022,23/08/2022,,91121553,7539113,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW In and Out Distribution [2113]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 21:48:51",31/08/2022,23/08/2022,,96744431,7538687,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW In and Out Distribution [2113]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 21:24:22",31/08/2022,23/08/2022,,97910136,7538631,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW In and Out Distribution [2113]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 20:05:38",31/08/2022,23/08/2022,,99976731,7538493,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW In and Out Distribution [2113]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,23/08/2022
"30/07/2022 19:15:19",31/08/2022,23/08/2022,,97070795,7538391,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW In and Out Distribution [2113]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,23/08/2022
"30/07/2022 19:02:20",31/08/2022,23/08/2022,,90584892,7538367,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW In and Out Distribution [2113]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,23/08/2022
"30/07/2022 18:30:50",31/08/2022,,,94200434,7538313,0843930033157,1,Music,"United States","Amazon US1 [45]",,"41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Canceled,Processing,
"30/07/2022 18:30:40",31/08/2022,23/08/2022,,97440093,7538308,0843930033157,1,Music,"United States","Amazon US1 [45]","FPW In and Out Distribution [2113]","41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Shipped,Shipped,24/08/2022
"30/07/2022 18:15:57",31/08/2022,,,94260243,7538269,0843930033157,1,Music,"United States","Amazon US1 [45]",,"41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Canceled,Processing,
"30/07/2022 17:53:48",31/08/2022,,,95744181,7538202,0843930033157,1,Music,"United States","Amazon US1 [45]",,"41.49 USD",41.49,"FPW Route1 Direct (VIP) [2112]",Canceled,Processing,
